index,US Equities,Developed ExUS Equity,EM Equity,US Bond,ExUS Bond,Cash
1/31/2010,-0.0493062,-0.0429584,-0.0534534,0.0210206,-0.003985,0.0000599
2/28/2010,0.030717,-0.0008642,0.0018943,0.0072322,-0.0017957,0.0000033
3/31/2010,0.0575415,0.0663489,0.0837306,-0.0014907,-0.0149781,0.0000539
4/30/2010,0.0101695,-0.0110004,0.0170975,0.0148129,-0.0081039,0.00012
5/31/2010,-0.0837182,-0.1091419,-0.0889121,0.0109562,-0.0293789,0.0001517
6/30/2010,-0.0555042,-0.0124789,-0.0010838,0.0243721,0.0158353,0.0001365
7/31/2010,0.0707085,0.0914941,0.0814423,0.018323,0.0507314,0.0001443
8/31/2010,-0.0530787,-0.0291784,-0.0140508,0.0251813,0.0154667,0.0001353
9/30/2010,0.1034449,0.098813,0.1121816,0.006822,0.0377595,0.00009
10/31/2010,0.0547397,0.0356903,0.0307916,0.0061994,0.019166,0.0001264
11/30/2010,-0.0014421,-0.0402512,-0.02317,-0.0107158,-0.061904,0.0001209
12/31/2010,0.0579838,0.0844706,0.0726648,-0.0196161,0.0299038,0.0001801
1/31/2011,0.0189187,0.0201158,-0.0280629,0.0028527,0.0016896,0.00008
2/28/2011,0.0272917,0.0363319,-0.0125517,0.0012323,0.0083686,0.00014
3/31/2011,-0.0053764,-0.0172609,0.0579604,0.0006781,0.0062214,0.0001601
4/30/2011,0.031051,0.0550426,0.0328226,0.0155979,0.0427372,0.0000705
5/31/2011,-0.0085084,-0.0274579,-0.0257491,0.0162444,-0.0095173,-9.00E-07
6/30/2011,-0.0109815,-0.0137203,-0.0140437,-0.0028484,0.0031612,0.00002
7/31/2011,-0.0020719,-0.0147433,0.0002511,0.019751,0.0232023,-0.0000805
8/31/2011,-0.0507566,-0.0839505,-0.090345,0.019513,0.0149294,0.0001054
9/30/2011,-0.0691702,-0.1017181,-0.1454312,0.0018483,-0.0370413,0
10/31/2011,0.1129255,0.0962469,0.1269528,0.0046515,0.0177607,0.00002
11/30/2011,-0.0014909,-0.0459619,-0.0681157,-0.0037661,-0.0263124,0
12/31/2011,-0.0015459,-0.0113682,-0.01001,0.0162397,0.0051779,7.00E-07
1/31/2012,0.054872,0.0580574,0.1121567,0.0172833,0.0199048,-1.00E-06
2/29/2012,0.0549653,0.0550409,0.0606109,0.0006722,-0.0027154,0.00005
3/31/2012,0.0373946,-0.0064775,-0.0311132,-0.007511,-0.0084405,0.0000908
4/30/2012,-0.0028645,-0.0138646,-0.0124866,0.0169358,0.013531,0.0000383
5/31/2012,-0.0593585,-0.1119038,-0.1099729,0.0110811,-0.0207098,0.00011
6/30/2012,0.0320833,0.0624204,0.0386164,0.0025861,0.0045301,0.0000213
7/31/2012,0.0178234,0.0121484,0.018933,0.018835,0.0088711,0.0000294
8/31/2012,0.0314411,0.0291856,0.0012186,0.0030455,0.0145559,0.00005
9/30/2012,0.0197908,0.0328094,0.0623053,0.0058051,0.0189657,0.0000732
10/31/2012,-0.0331115,0.0069293,-0.0081999,0.0043016,-0.0048843,0.0000662
11/30/2012,0.0172161,0.0191788,0.0137673,0.0056786,-0.0016507,0.0001
12/31/2012,-0.0007201,0.0316938,0.052853,-0.0023129,-0.0068504,0.000077
1/31/2013,0.039229,0.0495194,0.0164737,-0.009808,-0.0112503,0.0000251
2/28/2013,0.0110365,-0.0080705,-0.0108282,0.0074556,-0.0207632,0.0000162
3/31/2013,0.0348845,0.0100193,-0.014774,0.0018835,-0.0045942,0.0001171
4/30/2013,0.0190472,0.0442592,0.0102214,0.0145731,0.015834,0.0000674
5/31/2013,0.0226079,-0.0210373,-0.0238148,-0.0272029,-0.0381652,0.0000229
6/30/2013,-0.0184707,-0.0371295,-0.0661987,-0.0239277,-0.0072728,0.0000235
7/31/2013,0.0523025,0.0535116,0.0097466,0.0000126,0.0204827,0.0000355
8/31/2013,-0.0179128,-0.0116478,-0.0195465,-0.0071793,-0.0039449,0.0000276
9/30/2013,0.0420612,0.0720945,0.0652856,0.0163993,0.0270934,0.0000108
10/31/2013,0.0498764,0.0330912,0.0483309,0.0106654,0.0106412,0.0000259
11/30/2013,0.0298402,0.0057576,-0.0148319,-0.0077617,-0.0113028,0.0000205
12/31/2013,0.0269786,0.0160088,-0.0120933,-0.0086846,-0.0075467,0.0000261
1/31/2014,-0.0309734,-0.0375068,-0.0624998,0.0190287,0.010298,0.0000182
2/28/2014,0.05146,0.0558011,0.0322295,0.0057382,0.0192481,0.0000455
3/31/2014,-0.0098382,-0.0031134,0.0291394,-0.0041628,-0.0004513,0.000053
4/30/2014,0.0056649,0.0140972,0.0042771,0.010273,0.0133525,0.0000296
5/31/2014,0.0347882,0.0161552,0.0360731,0.0152959,0.0011563,-0.0000042
6/30/2014,0.0208055,0.0157991,0.0294062,0.0013394,0.0121965,0.0000325
7/31/2014,-0.0120492,-0.018816,0.0177387,-0.0048915,-0.0134438,0.0000298
8/31/2014,0.0448037,0.0011804,0.023555,0.0121085,0.0015426,0.000022
9/30/2014,-0.0114526,-0.0429554,-0.0696402,-0.0061384,-0.0429387,0.0000077
10/31/2014,0.0305732,-0.0167742,0.010853,0.0118968,-0.0072834,0.0000254
11/30/2014,0.0322303,0.0109618,-0.0099064,0.0089438,-0.0112219,-0.0000067
12/31/2014,-0.0077933,-0.0303829,-0.0408053,-0.0012504,-0.010274,-0.0000068
1/31/2015,-0.0162845,-0.0041198,0.010893,0.0228156,-0.0221996,0.0000156
2/28/2015,0.0632293,0.0600993,0.0266009,-0.0108598,-0.0073173,0.0000049
3/31/2015,-0.0156434,-0.0153535,-0.0116149,0.0058865,-0.0211743,0.0000095
4/30/2015,0.0040173,0.0449894,0.0766828,-0.0014893,0.0210095,0.0000158
5/31/2015,0.0169396,-0.0062037,-0.0340696,-0.0014761,-0.0312037,-0.0000014
6/30/2015,-0.0157032,-0.0263504,-0.0276448,-0.0126048,0.0017887,0.000007
7/31/2015,0.0346147,0.0136214,-0.0690793,0.0074196,0.0006113,-0.0000229
8/31/2015,-0.064636,-0.0685297,-0.0875219,-0.0005202,0.0060053,0.0000576
9/30/2015,-0.0256042,-0.0476313,-0.0257379,0.0092476,0.0056199,0.0000382
10/31/2015,0.0951754,0.0734154,0.0705398,0.0005387,0.0011335,-0.0000136
11/30/2015,0.0025235,-0.0139632,-0.036698,-0.002869,-0.0282702,-0.0000136
12/31/2015,-0.0196562,-0.0144893,-0.0201142,-0.0032115,0.013838,0.0000635
1/31/2016,-0.0602479,-0.0690123,-0.0653714,0.016848,0.0067154,-0.0000372
2/29/2016,-0.0119773,-0.0117176,-0.0026348,0.0084414,0.0382442,0.0002081
3/31/2016,0.0651097,0.0699705,0.1279091,0.0086475,0.0385491,0.0003368
4/30/2016,-0.0083962,0.0327752,0.0111168,0.0037652,0.0215497,0.0000698
5/31/2016,0.0242118,-0.007833,-0.0377793,-0.0004008,-0.0217636,0.0000886
6/30/2016,-0.0104142,-0.031538,0.0442543,0.0185371,0.0391898,0.0002372
7/31/2016,0.0459719,0.0507187,0.0507189,0.0063331,0.0075075,0.0002331
