Name,SecId,Enhanced Index,Index Fund
Vanguard Emerging Mkts Stock Idx Adm,FOUSA05IBW,No,Yes
Invesco Equally-Wtd S&P 500 R6,F00000OTWA,No,Yes
Invesco Equally-Wtd S&P 500 A,FOUSA00GRR,No,Yes
Invesco Equally-Wtd S&P 500 Y,FOUSA00H64,No,Yes
Invesco Equally-Wtd S&P 500 C,FOUSA00JO5,No,Yes
Invesco Equally-Wtd S&P 500 R,FOUSA06SHA,No,Yes
Fidelity? US Bond Index,F00000LZX3,No,Yes
Fidelity? 500 Index,F00000LZSI,No,Yes
Rydex NASDAQ-100? H,F00000UEUA,No,Yes
Rydex NASDAQ-100? Inv,FOUSA00CFK,No,Yes
Rydex NASDAQ-100? C,FOUSA02VDJ,No,Yes
Rydex NASDAQ-100? A,FOUSA05760,No,Yes
JPMorgan Equity Index R6,F00000XF1S,No,Yes
JPMorgan Equity Index I,FOUSA00D39,No,Yes
JPMorgan Equity Index A,FOUSA00D8E,No,Yes
JPMorgan Equity Index C,FOUSA00I6Z,No,Yes
Columbia US Treasury Index Inst2,F00000P0OK,No,Yes
Columbia US Treasury Index Inst3,F00000XO4Z,No,Yes
Columbia US Treasury Index Inst,FOUSA00D68,No,Yes
Columbia US Treasury Index A,FOUSA02VQ5,No,Yes
Columbia US Treasury Index C,FOUSA02VQ7,No,Yes
Federated Hermes Max-Cap Index IS,FOUSA00CDC,No,Yes
Federated Hermes Max-Cap Index Svc,FOUSA00CJX,No,Yes
Federated Hermes Max-Cap Index C,FOUSA00K3T,No,Yes
Federated Hermes Max-Cap Index R,FOUSA04ADU,No,Yes
Schwab Small Cap Index,FOUSA00GOE,No,Yes
Rydex Inverse S&P 500? Strategy H,F00000UEU9,No,Yes
Rydex Inverse S&P 500? Strategy Inv,FOUSA00DL4,No,Yes
Rydex Inverse S&P 500? Strategy C,FOUSA02VE7,No,Yes
Rydex Inverse S&P 500? Strategy A,FOUSA05762,No,Yes
Vanguard Short-Term Bond Idx I,F00000MPYO,No,Yes
Vanguard Short-Term Bond Idx InstlPls,F00000MPYP,No,Yes
Vanguard Short-Term Bond Index Inv,FOUSA00DEP,No,Yes
Vanguard Short-Term Bond Index Adm,FOUSA02TYF,No,Yes
Rydex Government Long Bd 1.2x Strat H,F00000UEU6,No,Yes
Rydex Government Long Bd 1.2x Strat Inv,FOUSA00DTW,No,Yes
Rydex Government Long Bd 1.2x Strat C,FOUSA02VDF,No,Yes
Rydex Government Long Bd 1.2x Strat A,FOUSA05763,No,Yes
Vanguard Small Cap Index InstlPlus,F00000JXW4,No,Yes
Vanguard Small Cap Index Inv,FOUSA00E0E,No,Yes
Vanguard Small Cap Index I,FOUSA00GQ5,No,Yes
